Code,SMILES,RF-GROVER Prob.,RF-GROVER Labels,XGBoost-GROVER Prob.,XGBoost-GROVER Labels,MLP-GROVER Prob.,MLP-GROVER Labels
IIIb,O=C(CCC1=CC=C(CN2C=NC3=CC(CCC4=CC(Cl)=CC=C4)=CC=C32)C=C1)NO,0.500000,1,0.645029,1,0.000454,0
IIIc,O=C(CCC1=CC=C(CN2C=NC3=CC(CCC4=CC=C(C=C4)F)=CC=C32)C=C1)NO,0.350000,0,0.016679,0,0.000010,0
IIId,O=C(CCC1=CC=C(CN2C3=CC(CCC4=C(C=CC=C4)Cl)=CC=C3N=C2)C=C1)NO,0.395000,0,0.171681,0,0.000065,0
IIIe,O=C(CCC1=CC=C(CN2C3=CC(CCC4=CC(Cl)=CC=C4)=CC=C3N=C2)C=C1)NO,0.480000,0,0.645029,1,0.000558,0
IIIf,O=C(CCC1=CC=C(CN2C3=CC(CCC4=CC=C(C=C4)F)=CC=C3N=C2)C=C1)NO,0.355000,0,0.010041,0,0.000012,0
IVa,O=C(CCC1=CC=C(CN2C=NC3=CC(/C=C/C4=C(C=CC=C4)Cl)=CC=C32)C=C1)NO,0.660000,1,0.860691,1,0.330979,0
IVb,O=C(CCC1=CC=C(CN2C=NC3=CC(/C=C/C4=CC(Cl)=CC=C4)=CC=C32)C=C1)NO,0.760000,1,0.995476,1,0.958310,1
IVc,O=C(CCC1=CC=C(CN2C=NC3=CC(/C=C/C4=CC=C(C=C4)F)=CC=C32)C=C1)NO,0.435000,0,0.040218,0,0.000132,0
IVd,O=C(CCC1=CC=C(CN2C3=CC(/C=C/C4=C(C=CC=C4)Cl)=CC=C3N=C2)C=C1)NO,0.665000,1,0.982132,1,0.299427,0
IVe,O=C(CCC1=CC=C(CN2C3=CC(/C=C/C4=CC(Cl)=CC=C4)=CC=C3N=C2)C=C1)NO,0.745000,1,0.995214,1,0.949986,1
IVf,O=C(CCC1=CC=C(CN2C3=CC(/C=C/C4=CC=C(C=C4)F)=CC=C3N=C2)C=C1)NO,0.405000,0,0.040218,0,0.000131,0
Va,O=C(CC(C1=CC=C(CN2C=NC3=CC(/C=C/C4=C(C=CC=C4)Cl)=CC=C32)C=C1)=O)NO,0.590000,1,0.940076,1,0.576746,1
Vb,O=C(CC(C1=CC=C(CN2C=NC3=CC(/C=C/C4=CC(Cl)=CC=C4)=CC=C32)C=C1)=O)NO,0.695000,1,0.993734,1,0.982060,1
